Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
if (alertMessage.equalsIgnoreCase(expectedAlert)),Chrome 152.0.7977.84,,,15-09-2026 11:56:36,15-09-2026 11:56:36,0.001s,PASSED
closeBrowser(),Chrome 152.0.7977.84,,,15-09-2026 11:56:36,15-09-2026 11:56:37,0.116s,PASSED
if (alertMessage.equalsIgnoreCase(expectedAlert)),Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.001s,PASSED
Start listener action : afterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.002s,PASSED
,,,,,,,
Test Cases/Common_Test_case/Login/ValidLogin/VL_Login_TC_101,Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:55,18.461s,PASSED
"DATA BINDING - {""password"":""ACByQccM9z1v23aWcZKDBQ\u003d\u003d"",""captcha"":""3GkgFr"",""appUrl"":""https://sahibnkmitraqc.banksekure.com/EKYCWeb/"",""userid"":""TestAutoAdm""}",,,,,,,
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.000s,PASSED
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.001s,PASSED
"openBrowser("""")",Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.680s,PASSED
maximizeWindow(),Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:37,0.037s,PASSED
navigateToUrl(appUrl),Chrome 152.0.7977.84,,,15-09-2026 11:56:37,15-09-2026 11:56:39,1.811s,PASSED
"messageprint = """"",Chrome 152.0.7977.84,,,15-09-2026 11:56:39,15-09-2026 11:56:39,0.000s,PASSED
"setText(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/input_Enter User Name""), userid)",Chrome 152.0.7977.84,,,15-09-2026 11:56:39,15-09-2026 11:56:40,0.537s,PASSED
"setEncryptedText(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/input_Enter Password""), password)",Chrome 152.0.7977.84,,,15-09-2026 11:56:40,15-09-2026 11:56:40,0.293s,PASSED
"setText(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/input_Enter Captcha""), captcha)",Chrome 152.0.7977.84,,,15-09-2026 11:56:40,15-09-2026 11:56:40,0.556s,PASSED
"click(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/input_submit""))",Chrome 152.0.7977.84,,,15-09-2026 11:56:40,15-09-2026 11:56:43,2.271s,PASSED
"waitForElementVisible(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/b_Agent Management System""), 10)",Chrome 152.0.7977.84,,,15-09-2026 11:56:43,15-09-2026 11:56:43,0.441s,PASSED
"messageprint = getText(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/b_Agent Management System""))",Chrome 152.0.7977.84,,,15-09-2026 11:56:43,15-09-2026 11:56:43,0.241s,PASSED
delay(10),Chrome 152.0.7977.84,,,15-09-2026 11:56:43,15-09-2026 11:56:53,10.009s,PASSED
"logInfo(""Validation Message: "" + messageprint)",Chrome 152.0.7977.84,,,15-09-2026 11:56:53,15-09-2026 11:56:53,0.000s,PASSED
"if (messageprint.contains(""Agent Management System"") || messageprint.contains(""Management System""))",Chrome 152.0.7977.84,,,15-09-2026 11:56:53,15-09-2026 11:56:53,0.001s,PASSED
"click(findTestObject(""SahiBnkmitrarepository/Page_Agent Management System/span_Logout""))",Chrome 152.0.7977.84,,,15-09-2026 11:56:53,15-09-2026 11:56:55,1.390s,PASSED
closeBrowser(),Chrome 152.0.7977.84,,,15-09-2026 11:56:55,15-09-2026 11:56:55,0.155s,PASSED
Start listener action : afterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:56:55,15-09-2026 11:56:55,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:56:55,15-09-2026 11:56:55,0.000s,PASSED
,,,,,,,
Start listener action : afterSuite,Chrome 152.0.7977.84,,,15-09-2026 11:56:55,15-09-2026 11:56:55,0.175s,PASSED
